I00001|33301|298310398.68
I00021|33301|298310398.68
I00001|33302|273301398.68
I00021|33302|273301398.68
I00001|33304|25009000
I00021|33304|25009000
I00001|33305|5200000
I00021|33305|5200000
I00001|33306|19809000
I00021|33306|19809000
I00001|33310|25009000
I00021|33310|25009000
I00001|33311|5200000
I00021|33311|5200000
I00001|33313|19809000
I00021|33313|19809000
I00001|33314|298310398.68
I00021|33314|298310398.68
I00001|33315|61259217.55
I00021|33315|61259217.55
I00001|33316|126993181.13
I00021|33316|126993181.13
I00001|33317|92638000
I00021|33317|92638000
I00001|33318|17420000
I00021|33318|17420000
I00001|33320|298310398.68
I00021|33320|298310398.68
I00001|33321|766217.55
I00021|33321|766217.55
I00001|33322|15431000
I00021|33322|15431000
I00001|33323|282113181.13
I00021|33323|282113181.13
I00001|33324|5000000
I00021|33324|5000000
I00001|33325|85.69
I00021|33325|85.69
I00001|33326|298310398.68
I00021|33326|298310398.68
I00001|33327|36580000
I00021|33327|36580000
I00001|33328|12
I00021|33328|12
I00001|33329|22.32
I00021|33329|22.32
I00001|33330|84543557.12
I00021|33330|84543557.12
I00001|33331|7.92
I00021|33331|7.92
I00001|33332|22.32
I00021|33332|22.32
I00001|33333|20706841.56
I00021|33333|20706841.56
I00001|33334|5.64
I00021|33334|5.64
I00001|33335|22.32
I00021|33335|22.32
I00001|33336|156480000
I00021|33336|156480000
I00001|33337|5.76
I00021|33337|5.76
I00001|33338|22.32
I00021|33338|22.32
I00001|33340|392738196
I00021|33340|392738196
I00001|33341|344124259.14
I00021|33341|344124259.14
