I00001|12M01|316566747.29
I00001|12M02|500489.63
I00001|12M11|13632328.59
I00001|12M12|13632328.59
I00001|12M13|13632328.59
I00001|12M31|298310398.68
I00001|12M32|293479217.55
I00001|12M36|268470217.55
I00001|12M37|261100000
I00001|12M3A|7370217.55
I00001|12M3D|7370217.55
I00001|12M3H|25009000
I00001|12M3J|25009000
I00001|12M51|4831181.13
I00001|12M52|4831181.13
I00001|12M5A|4831181.13
I00001|12MB1|2197052.22
I00001|12MB2|2197052.22
I00001|12MB7|2197052.22
I00001|12MC6|596653.64
I00001|12MC7|596653.64
I00001|12MC8|2326732.98
I00001|12MC9|1730079.34
I00001|12MFJ|1329824.53
I00001|12MFP|1329824.53
I00001|12MFW|1329824.53
I00001|12MG1|316566747.29
I00001|12MN1|150000000
I00001|12MN2|150000000
I00001|12MR1|1651875.42
I00001|12MR2|1651875.42
I00001|12MR5|1605193.65
I00001|12MRB|46681.77
I00001|12MTQ|4210000
I00001|12MTR|4210000
I00001|12MTS|4210000
I00001|12MU1|160704871.87
I00001|12MU2|150000000
I00001|12MU4|899015.73
I00001|12MU6|9805856.14
